iter	RMSE
0	12132.15548
1	12038.12708
2	11951.09589
3	11859.13369
4	11774.32012
5	11689.34637
6	11598.96476
7	11512.38653
8	11425.95887
9	11343.21114
10	11256.59388
11	11181.73878
12	11103.82629
13	11038.88487
14	10960.99311
15	10885.48607
16	10809.55528
17	10731.94993
18	10651.31163
19	10574.85998
20	10504.28721
21	10443.57527
22	10376.43849
23	10317.17116
24	10246.35896
25	10173.71087
26	10103.08538
27	10034.55124
28	9965.722671
29	9894.274578
30	9825.318719
31	9754.937185
32	9693.322757
33	9627.293365
34	9559.299833
35	9493.906275
36	9435.976634
37	9369.990807
38	9305.463718
39	9243.979185
40	9183.641305
41	9118.830337
42	9065.487749
43	9009.166751
44	8950.274672
45	8895.8219
46	8839.174743
47	8786.894465
48	8732.419197
49	8677.961869
50	8622.581564
51	8568.093235
52	8513.37174
53	8462.45847
54	8409.3699
55	8359.425584
56	8307.697971
57	8257.784961
58	8210.913965
59	8162.734105
60	8115.70988
61	8069.7524
62	8021.773852
63	7976.831318
64	7925.939126
65	7877.788932
66	7831.696808
67	7795.714748
68	7751.356972
69	7705.260459
70	7660.141919
71	7617.94809
72	7575.40682
73	7529.215873
74	7488.669645
75	7444.663082
76	7401.684576
77	7359.36768
78	7317.626359
79	7276.838487
80	7238.022431
81	7200.085522
82	7159.450788
83	7124.417611
84	7089.822204
85	7051.643135
86	7018.475884
87	6983.950628
88	6947.245565
89	6912.999886
90	6880.454771
91	6844.891257
92	6817.460606
93	6782.663845
94	6748.400165
95	6715.816259
96	6682.982397
97	6651.156253
98	6620.3871
99	6589.03196
100	6557.527766
101	6528.146855
102	6496.808717
103	6465.242535
104	6435.768356
105	6404.292465
106	6374.11115
107	6343.959605
108	6313.500716
109	6284.121924
110	6257.561819
111	6230.657397
112	6206.122148
113	6179.365663
114	6155.381634
115	6128.105751
116	6102.148693
117	6075.010518
118	6051.439347
119	6025.535221
120	6000.384828
121	5975.01789
122	5950.764672
123	5926.909502
124	5902.241628
125	5880.118718
126	5857.20483
127	5835.841416
128	5815.74093
129	5793.571496
130	5770.969149
131	5749.057475
132	5728.761043
133	5708.807742
134	5687.572034
135	5668.70862
136	5648.292499
137	5628.526978
138	5607.42661
139	5588.513916
140	5570.623642
141	5550.231704
142	5530.748626
143	5513.441034
144	5496.195467
145	5479.040575
146	5461.728698
147	5444.35929
148	5427.897122
149	5411.681397
150	5396.043702
151	5379.178805
152	5363.889714
153	5347.718934
154	5331.623953
155	5315.261364
156	5304.332304
157	5291.206288
158	5276.201282
159	5261.883511
160	5248.062282
161	5232.747153
162	5217.968698
163	5203.311291
164	5191.451071
165	5177.73801
166	5165.246159
167	5153.636196
168	5139.970318
169	5126.294914
170	5113.12399
171	5100.455849
172	5087.443308
173	5075.475886
174	5062.82343
175	5050.759676
176	5038.582191
177	5026.127195
178	5014.462177
179	5004.108655
180	4992.328881
181	4984.837104
182	4973.837208
183	4962.451272
184	4952.387964
185	4944.984743
186	4933.481467
187	4922.976061
188	4911.62541
189	4901.308375
190	4890.904329
191	4880.474331
192	4870.58892
193	4861.229889
194	4851.162179
195	4841.444994
196	4831.635956
197	4822.781373
198	4814.100865
199	4806.428538
200	4797.135241
201	4787.731572
202	4778.450965
203	4773.118328
204	4764.491143
205	4757.157038
206	4748.994077
207	4741.431814
208	4733.860481
209	4725.887177
210	4718.385615
211	4710.143077
212	4702.711503
213	4695.106967
214	4687.878286
215	4679.996558
