iter	Passed	Remaining
0	2	2420
1	3	1901
2	5	1912
3	7	1933
4	9	1899
5	11	1874
6	13	1950
7	17	2149
8	19	2147
9	20	2045
10	22	2044
11	25	2098
12	28	2134
13	30	2140
14	32	2117
15	36	2218
16	38	2243
17	40	2224
18	42	2198
19	44	2156
20	48	2253
21	49	2186
22	51	2194
23	52	2129
24	55	2175
25	59	2231
26	62	2237
27	64	2251
28	67	2249
29	69	2233
30	72	2256
31	73	2232
32	76	2234
33	78	2222
34	79	2204
35	82	2196
36	85	2226
37	87	2221
38	89	2196
39	91	2187
40	93	2180
41	96	2197
42	98	2200
43	100	2192
44	102	2185
45	104	2159
46	106	2151
47	109	2167
48	111	2164
49	114	2170
50	116	2162
51	118	2157
52	120	2158
53	123	2160
54	125	2152
55	127	2145
56	129	2138
57	131	2135
58	134	2149
59	137	2150
60	139	2149
61	141	2146
62	143	2140
63	147	2153
64	149	2149
65	151	2143
66	153	2136
67	154	2114
68	155	2094
69	158	2099
70	160	2101
71	162	2096
72	165	2097
73	167	2091
74	169	2086
75	170	2076
76	173	2077
77	174	2062
78	176	2062
79	178	2057
80	181	2055
81	184	2061
82	185	2050
83	187	2046
84	188	2029
85	191	2030
86	192	2025
87	195	2028
88	198	2027
89	200	2023
90	202	2024
91	204	2020
92	206	2016
93	208	2010
94	210	2006
95	212	2003
96	215	2003
97	216	1990
98	219	1994
99	221	1997
100	224	1994
101	226	1990
102	228	1988
103	230	1985
104	232	1985
105	234	1977
106	236	1973
107	238	1968
108	240	1963
109	242	1960
110	244	1959
111	246	1956
112	248	1953
113	250	1948
114	251	1937
115	253	1933
116	256	1937
117	259	1937
118	260	1931
119	262	1926
120	264	1918
121	266	1919
122	269	1922
123	271	1917
124	273	1913
125	275	1908
126	276	1897
127	277	1893
128	279	1888
129	281	1884
130	283	1883
131	285	1880
132	287	1875
133	289	1871
134	291	1869
135	293	1866
136	295	1864
137	297	1860
138	299	1855
139	301	1852
140	303	1850
141	306	1852
142	308	1850
143	310	1845
144	312	1840
145	314	1837
146	315	1833
147	318	1835
148	320	1832
149	322	1830
150	324	1826
151	326	1822
152	328	1819
153	330	1817
154	334	1821
155	336	1819
156	336	1809
157	338	1804
158	340	1801
159	342	1798
160	345	1799
161	347	1796
162	348	1790
163	350	1786
164	352	1783
165	354	1782
166	357	1785
167	359	1781
168	361	1777
169	363	1773
170	364	1767
171	366	1763
172	368	1761
173	370	1760
174	372	1757
175	374	1754
176	375	1747
177	377	1743
178	379	1740
179	382	1744
180	385	1743
181	385	1733
182	387	1730
183	389	1727
184	391	1723
185	392	1716
186	394	1716
187	397	1714
188	398	1711
189	400	1708
190	402	1704
191	404	1701
192	405	1696
193	408	1696
194	410	1695
195	412	1691
196	414	1688
197	416	1685
198	418	1682
199	420	1681
200	440	1750
201	442	1747
202	444	1747
203	445	1739
204	448	1738
205	450	1736
206	452	1733
207	453	1728
208	455	1725
209	459	1728
210	460	1723
211	462	1719
212	464	1716
213	471	1733
214	474	1730
215	476	1729
216	478	1726
217	480	1723
218	481	1718
219	484	1716
220	486	1715
221	488	1711
222	490	1709
223	491	1703
224	494	1703
225	497	1702
226	498	1697
227	500	1693
228	502	1691
229	503	1686
230	505	1684
231	508	1682
232	510	1678
233	511	1675
234	513	1672
235	515	1669
236	517	1667
237	519	1664
238	521	1661
239	524	1660
240	526	1657
241	527	1653
242	530	1652
243	532	1648
244	533	1645
245	536	1644
246	537	1639
247	539	1635
248	541	1632
249	543	1630
250	545	1627
251	547	1624
252	550	1624
253	551	1620
254	553	1616
255	555	1613
256	557	1611
257	558	1607
258	560	1602
259	561	1598
260	563	1594
261	565	1592
262	567	1589
263	569	1586
264	570	1583
265	573	1583
266	575	1580
267	577	1578
268	579	1575
269	581	1572
270	582	1568
271	586	1568
272	587	1565
273	589	1562
274	591	1559
275	592	1554
276	594	1551
277	596	1550
278	598	1547
279	600	1544
280	602	1541
281	604	1539
282	606	1536
283	608	1533
284	611	1533
285	613	1531
286	615	1530
287	616	1524
288	618	1521
289	620	1518
290	622	1516
291	625	1515
292	627	1514
293	629	1512
294	631	1510
295	634	1508
296	636	1505
297	637	1502
298	640	1500
299	641	1497
300	643	1494
301	646	1493
302	648	1490
303	650	1488
304	652	1486
305	653	1481
306	654	1478
307	656	1475
308	658	1473
309	660	1469
310	662	1467
311	664	1464
312	666	1462
313	668	1459
314	670	1457
315	673	1456
316	674	1454
317	677	1452
318	679	1449
319	681	1447
320	682	1444
321	685	1442
322	686	1438
323	688	1435
324	690	1433
325	692	1431
326	693	1427
327	695	1425
328	698	1423
329	699	1420
330	701	1418
331	704	1416
332	705	1413
333	707	1411
334	710	1410
335	712	1408
336	714	1405
337	715	1401
338	717	1399
339	719	1396
340	721	1394
341	723	1392
342	726	1390
343	728	1388
344	730	1386
345	732	1383
346	735	1383
347	736	1380
348	738	1378
349	741	1376
350	742	1373
351	744	1370
352	746	1368
353	748	1365
354	749	1362
355	751	1359
356	754	1358
357	754	1353
358	756	1351
359	758	1348
360	761	1348
361	763	1346
362	765	1344
363	767	1341
364	769	1339
365	771	1336
366	773	1334
367	775	1331
368	777	1329
369	779	1327
370	781	1325
371	783	1322
372	786	1321
373	788	1319
374	790	1318
375	792	1315
376	794	1313
377	796	1310
378	798	1308
379	799	1304
380	801	1302
381	802	1298
382	804	1296
383	806	1293
384	808	1291
385	810	1290
386	812	1287
387	814	1285
388	817	1283
389	818	1280
390	821	1278
391	823	1277
392	828	1280
393	831	1278
394	833	1276
395	838	1278
396	840	1276
397	842	1274
398	846	1275
399	849	1273
400	851	1272
401	854	1270
402	855	1267
403	859	1267
404	862	1266
405	864	1265
406	867	1263
407	872	1265
408	875	1264
409	877	1262
410	879	1260
411	883	1260
412	885	1258
413	888	1257
414	890	1255
415	897	1259
416	899	1258
417	902	1256
418	904	1253
419	906	1251
420	907	1248
421	909	1245
422	911	1243
423	913	1241
424	915	1238
425	917	1236
426	919	1233
427	921	1230
428	923	1228
429	925	1226
430	927	1224
431	929	1221
432	932	1220
433	933	1217
434	937	1217
435	939	1214
436	941	1212
437	943	1209
438	945	1208
439	947	1205
440	949	1203
441	951	1200
442	953	1198
443	954	1195
444	957	1194
445	959	1192
446	962	1190
447	963	1187
448	965	1185
449	968	1183
450	970	1181
451	972	1178
452	974	1176
453	976	1174
454	978	1172
455	980	1169
456	982	1167
457	984	1165
458	986	1162
459	988	1160
460	990	1158
461	992	1155
462	994	1153
463	996	1150
464	999	1149
465	1000	1147
466	1002	1144
467	1003	1140
468	1005	1138
469	1008	1137
470	1010	1134
471	1012	1132
472	1014	1130
473	1016	1127
474	1018	1125
475	1020	1123
476	1022	1121
477	1024	1119
478	1026	1117
479	1027	1113
480	1029	1111
481	1031	1108
482	1034	1106
483	1035	1104
484	1038	1102
485	1039	1099
486	1041	1096
487	1043	1094
488	1045	1092
489	1049	1092
490	1052	1090
491	1054	1088
492	1056	1086
493	1059	1085
494	1061	1082
495	1063	1080
496	1065	1077
497	1067	1076
498	1069	1074
499	1071	1071
500	1073	1069
501	1075	1066
502	1077	1064
503	1079	1062
504	1080	1059
505	1082	1057
506	1084	1054
507	1086	1052
508	1088	1050
509	1090	1047
510	1093	1046
511	1095	1044
512	1097	1041
513	1099	1039
514	1101	1037
515	1102	1034
516	1112	1039
517	1114	1037
518	1121	1039
519	1123	1036
520	1125	1035
521	1128	1032
